epoch,train_loss,train_acc,val_loss,val_acc
1,0.42462964198168585,0.6554714892046503,0.3761335448785262,0.7535055350553506
2,0.37373202933984645,0.7211662668389002,0.35474554110657086,0.7741697416974169
3,0.34749275831615223,0.7521682967337147,0.3366903263059529,0.7749077490774908
4,0.3220559118425145,0.7798486805683705,0.32882198691368103,0.7977859778597786
5,0.30463431617792913,0.7888909392876915,0.31998268379406497,0.7992619926199263
6,0.28654021533096535,0.8066063849418712,0.31433640826832165,0.8214022140221402
7,0.26967623812310837,0.8226610075659716,0.3136265982281078,0.8044280442804428
8,0.2550753395347034,0.8298579073629822,0.3134932057424025,0.8118081180811808
9,0.23441742570961224,0.8534785015685551,0.30728641152381897,0.8273062730627306
10,0.22531806528568268,0.858091898874331,0.3050958304242654,0.818450184501845
11,0.20870591691311668,0.8710094113305038,0.30318427830934525,0.8022140221402214
12,0.1932165654266582,0.8850341391400628,0.30353844368999655,0.8273062730627306
13,0.1843591647113071,0.8924155748293043,0.3093438087539239,0.8125461254612546
14,0.17398399605470546,0.8964753644583872,0.3207628137686036,0.8287822878228782
15,0.16502791424007976,0.9016423694408563,0.31358090855858545,0.8317343173431734
16,0.14666249690686955,0.9202804945561912,0.31495150652798737,0.8162361623616237
17,0.14465056824333528,0.9199114227717291,0.3149944150989706,0.8346863468634687
18,0.1386781693819691,0.924155748293043,0.3218235102566806,0.8236162361623616
19,0.12745585976278082,0.9322753275512087,0.3134644322774627,0.83690036900369
20,0.11321299864965327,0.9411330503782985,0.3138417750597,0.8243542435424355
21,0.11258252298130708,0.9368887248569847,0.3271132545037703,0.8206642066420664
22,0.11538232262520229,0.9374423325336778,0.3590336692604152,0.8405904059040591
23,0.11180155167684835,0.9403949068093744,0.34271663291887805,0.8317343173431734
24,0.10798629101584939,0.9405794427016054,0.32862717455083673,0.8317343173431734
25,0.10551619823364651,0.9451928400073815,0.33402571082115173,0.8309963099630996
